"","x"
"106","https://fbref.com/en/matches/02ac8a2b/Arsenal-Platense-July-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"107","https://fbref.com/en/matches/3bc2bd6f/Aldosivi-Tucuman-July-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"108","https://fbref.com/en/matches/970fd41b/Godoy-Cruz-Lanus-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"109","https://fbref.com/en/matches/f8ce4a80/CA-Union-CA-Huracan-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"110","https://fbref.com/en/matches/d4fa7e63/Banfield-San-Lorenzo-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"111","https://fbref.com/en/matches/56b5469b/Tigre-Estudiantes-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"112","https://fbref.com/en/matches/40348afe/Velez-Sarsf-River-Plate-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"113","https://fbref.com/en/matches/665bb3f1/Platense-CC-Cordoba-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"114","https://fbref.com/en/matches/fb911bec/Colon-Aldosivi-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"115","https://fbref.com/en/matches/90b683da/Tucuman-Sarmiento-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"116","https://fbref.com/en/matches/d2000b1c/Racing-Club-Arsenal-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"117","https://fbref.com/en/matches/5f74c791/San-Lorenzo-CA-Union-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"118","https://fbref.com/en/matches/0dac3404/Patronato-Tigre-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"119","https://fbref.com/en/matches/c508210b/Estudiantes-Barracas-Central-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
